Price	Brand	Screen Size	Screen Type	CPU Brand	CPU Type	CPU Gen	Ram	Capacity	Storage Type	GPU	OS	Weight
19990.0	acer	14	fhd	intel	5	10	8	512	ssd	mx250	win10	1.2
32990.0	acer	15	fhd	intel	7	9	8	256	ssd	gtx 1650	win10	2.3
22490.0	acer	15	fhd	intel	5	9	8	512	ssd	gtx 1050	win10	2.3
18990.0	acer	14	fhd	intel	5	10	8	512	ssd	uhd	win10	1.2
16199.0	acer	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.7
12990.0	acer	15	fhd	intel	5	8	4	256	ssd	uhd 620	win10	1.7
18990.0	acer	14	fhd	intel	5	10	8	512	ssd	uhd	win10	1.2
25490.0	acer	15	fhd	intel	5	9	8	512	ssd	gtx 1650	win10	2.3
23990.0	acer	14	fhd	intel	5	8	8	256	ssd	uhd 620	win10	1.0
17290.0	acer	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.5
25490.0	acer	15	fhd	intel	5	8	8	1000	hdd	gtx 1650	win10	2.3
