Keyword	Mark
['geforce', '820a']	700
['geforce', '820m']	620
['geforce', '825m']	764
['geforce', '8300']	91
['geforce', '8300', 'gs']	66
['geforce', '830a']	1004
['geforce', '830m']	904
['geforce', '8400']	100
['geforce', '8400', 'gs']	112
['geforce', '8400', 'se']	68
['geforce', '8400m', 'g']	58
['geforce', '8400m', 'gs']	81
['geforce', '8400m', 'gt']	98
['geforce', '840a']	878
['geforce', '840m']	927
['geforce', '845m']	1147
['geforce', '8500', 'gt']	136
['geforce', '8600', 'gs']	141
['geforce', '8600', 'gt']	240
['geforce', '8600', 'gts']	284
['geforce', '8600m', 'gs']	123
['geforce', '8600m', 'gt']	168
['geforce', '8700m', 'gt']	206
['geforce', '8800', 'gs']	543
['geforce', '8800', 'gt']	747
['geforce', '8800', 'gts']	605
['geforce', '8800', 'gts', '512']	833
['geforce', '8800', 'gtx']	762
['geforce', '8800', 'ultra']	769
['geforce', '8800m', 'gts']	474
['geforce', '8800m', 'gtx']	542
['geforce', '9100']	82
['geforce', '9100m', 'g']	75
['geforce', '910m']	486
['geforce', '9200']	80
['geforce', '9200m', 'ge']	81
['geforce', '9200m', 'gs']	84
['geforce', '920a']	919
['geforce', '920m']	738
['geforce', '920mx']	1090
['geforce', '9300']	126
['geforce', '9300', '/', 'nforce', '730i']	129
['geforce', '9300', 'ge']	101
['geforce', '9300', 'gs']	91
['geforce', '9300ge']	97
['geforce', '9300m', 'g']	85
['geforce', '9300m', 'gs']	94
['geforce', '930a']	1220
['geforce', '930m']	962
['geforce', '930mx']	1245
['geforce', '9400']	139
['geforce', '9400', 'gt']	186
['geforce', '9400m']	118
['geforce', '9400m', 'g']	123
['geforce', '940a']	1031
['geforce', '940m']	1003
['geforce', '940mx']	1372
['geforce', '945m']	1509
['geforce', '9500', 'gs']	277
['geforce', '9500', 'gt']	272
['geforce', '9500m']	103
['geforce', '9500m', 'g']	166
['geforce', '9500m', 'gs']	179
['geforce', '9600', 'gs']	445
['geforce', '9600', 'gso']	515
['geforce', '9600', 'gso', '512']	503
['geforce', '9600', 'gt']	728
['geforce', '9600m', 'gs']	231
['geforce', '9600m', 'gt']	259
['geforce', '9600m', 'gt', '/', 'geforce', 'gt', '220m']	293
['geforce', '9650m', 'gs']	270
['geforce', '9650m', 'gt']	254
['geforce', '9700m', 'gt']	317
['geforce', '9700m', 'gts']	478
['geforce', '9800', 'gt']	707
['geforce', '9800', 'gtx']	769
['geforce', '9800', 'gtx+']	897
['geforce', '9800', 'gtx/9800', 'gtx+']	878
['geforce', '9800', 'gx2']	797
['geforce', '9800', 's']	635
['geforce', '9800m', 'gs']	547
['geforce', '9800m', 'gt']	475
['geforce', '9800m', 'gts']	645
['geforce', '9800m', 'gtx']	517
['geforce', '999', 'gtx']	83
['geforce', 'fx', '5200']	7
['geforce', 'fx', '5200', 'ultra']	12
['geforce', 'fx', '5200le']	7
['geforce', 'fx', '5200se']	11
['geforce', 'fx', '5500']	8
['geforce', 'fx', '5600']	12
['geforce', 'fx', '5600', 'ultra']	17
