Name	Price	Brand	Screen Size	Screen Type	CPU Brand	CPU Type	CPU Gen	Ram	Capacity	Storage Type	GPU	OS	Weight
MacBook Air 2019 MVFL2	36990.0	apple	13	qhd	intel	5	8	8	256	ssd	uhd 617	macos	1.3
"MacBook Air 2018 13"" MREA2"	31900.0	apple	13	qhd	intel	5	8	8	128	ssd	uhd 617	macos	1.2
MacBook Air 2019 MVFN2	36990.0	apple	13	qhd	intel	5	8	8	256	ssd	uhd 617	macos	1.3
MacBook Air 2019 MVFH2	31990.0	apple	13	qhd	intel	5	8	8	128	ssd	uhd 617	macos	1.3
MacBook Air 2019 MVFK2	31990.0	apple	13	qhd	intel	5	8	8	128	ssd	uhd 617	macos	1.3
MacBook Air 2019 MVFJ2	36990.0	apple	13	qhd	intel	5	8	8	256	ssd	uhd 617	macos	1.3
MacBook Air 2019 MVFM2	31990.0	apple	13	qhd	intel	5	8	8	128	ssd	uhd 617	macos	1.3
MacBook Pro 2019 MUHP2	39990.0	apple	13	qhd	intel	5	8	8	256	ssd	iris plus 645	macos	1.4
"MacBook Air 2018 13"" MRE82"	31900.0	apple	13	qhd	intel	5	8	8	128	ssd	uhd 617	macos	1.2
MacBook Pro 2019 MUHQ2	34990.0	apple	13	qhd	intel	5	8	8	128	ssd	iris plus 645	macos	1.4
"MacBook Air 2018 13"" MREE2"	31900.0	apple	13	qhd	intel	5	8	8	128	ssd	uhd 617	macos	1.2
MacBook Pro 2019 MUHN2	34990.0	apple	13	qhd	intel	5	8	8	128	ssd	iris plus 645	macos	1.4
MacBook Pro 2019 MV9A2	52000.0	apple	13	qhd	intel	5	8	8	512	ssd	iris plus 655	macos	1.4
MacBook Pro 2019 MUHR2	39990.0	apple	13	qhd	intel	5	8	8	256	ssd	iris plus 645	macos	1.4
"MacBook Air 2018 13"" MRE92"	36890.0	apple	13	qhd	intel	5	8	8	256	ssd	uhd 617	macos	1.2
"MacBook Air 2018 13"" MREF2"	36890.0	apple	13	qhd	intel	5	8	8	256	ssd	uhd 617	macos	1.2
MacBook Pro 2019 MV972	52000.0	apple	13	qhd	intel	5	8	8	512	ssd	iris plus 655	macos	1.4
MacBook Pro 2019 MV932	69990.0	apple	15	qhd	intel	5	8	16	512	ssd	radeon pro 560x	macos	1.8
GF63 Thin 9SC-071VN	23990.0	msi	15	fhd	intel	5	9	8	256	ssd	gtx 1650	win10	1.9
GL65 9SDK-054VN	29990.0	msi	15	fhd	intel	5	9	8	512	ssd	gtx 1660 ti	win10	2.3
GF63 Thin 9RCX-646VN	21490.0	msi	15	fhd	intel	5	9	8	512	ssd	gtx 1050 ti	win10	1.9
Thin GF75 9RCX-432VN	22200.0	msi	17	fhd	intel	5	9	8	256	ssd	gtx 1050 ti	win10	2.2
Thin GF65 9SD-070VN	28490.0	msi	15	fhd	intel	5	9	8	512	ssd	gtx 1660 ti	win10	1.8
GF63 Thin 9RCX-645VN	23990.0	msi	15	fhd	intel	7	9	8	512	ssd	gtx 1050 ti	win10	1.9
PS42 Modern 8M-478VN	21990.0	msi	14	fhd	intel	5	8	8	256	ssd	uhd 620	win10	1.2
GS65 Stealth 9SD-1409VN	36490.0	msi	15	fhd	intel	5	9	8	512	ssd	gtx 1660 ti	win10	1.9
GF63 8RD-242VN	23490.0	msi	15	fhd	intel	5	8	8	1000	hdd	gtx 1050 ti	win10	1.9
GF63 Thin 9SC-070VN	25990.0	msi	15	fhd	intel	7	9	8	256	ssd	gtx 1650	win10	1.9
Modern 14 A10RB-686VN	23990.0	msi	14	fhd	intel	7	10	8	512	ssd	mx250	win10	1.2
GL65 9SDK-254VN	32490.0	msi	15	fhd	intel	7	9	8	512	ssd	gtx 1660 ti	win10	2.3
GF63 8RC-243VN	22990.0	msi	15	fhd	intel	5	8	8	1000	hdd	gtx 1050	win10	1.9
GL63 9SD-843VN	35990.0	msi	15	fhd	intel	7	9	8	512	ssd	gtx 1660 ti	win10	2.3
GP65 Leopard 9SD-224VN	37990.0	msi	15	fhd	intel	7	9	16	512	ssd	gtx 1660 ti	win10	2.3
GL63 8RC-436VN	25490.0	msi	15	fhd	intel	7	8	8	1000	hdd	gtx 1050	win10	2.2
GL73 8RC-230VN	25990.0	msi	17	fhd	intel	7	8	8	1000	hdd	gtx 1050	win10	2.7
GF75 Thin 8SC-025VN	29990.0	msi	17	fhd	intel	7	8	8	256	ssd	gtx 1650	win10	2.2
Thin GF75 9RCX-430VN	24490.0	msi	17	fhd	intel	7	9	8	256	ssd	gtx 1050 ti	win10	2.2
Thin GF75 9SC-450VN	26990.0	msi	17	fhd	intel	7	9	8	256	ssd	gtx 1650	win10	2.2
Prestige 15 A10SC-222VN	33999.0	msi	15	fhd	intel	7	10	16	512	ssd	gtx 1650	win10	1.6
GP63 Leopard 8RD-434VN	31490.0	msi	15	fhd	intel	7	8	16	1000	hdd	gtx 1050 ti	win10	2.2
Prestige P65 Creator 8RE-069VN	44990.0	msi	15	fhd	intel	7	8	16	256	ssd	gtx 1060	win10	1.9
GS65 Stealth Thin 8RE-630VN	46990.0	msi	15	fhd	intel	7	8	16	256	ssd	gtx 1060	win10	1.9
GL65 9SEK-047VN	39990.0	msi	15	fhd	intel	7	9	16	512	ssd	rtx 2060	win10	2.3
Prestige 14 A10RB-028VN	28990.0	msi	14	fhd	intel	7	10	16	512	ssd	mx250	win10	1.3
GP75 Leopard 9SE-876VN	42990.0	msi	17	fhd	intel	7	9	16	512	ssd	rtx 2060	win10	2.6
