Name	Price	Brand	Screen Size	Screen Type	CPU Brand	CPU Type	CPU Gen	Ram	Capacity	Storage Type	GPU	OS	Weight
ProBook 430 G5 (4SS49PA)	12390.0	hp	13	hd	intel	3	8	4	500	hdd	uhd 620	free dos	1.6
ProBook 450 G6 (5YM80PA)	17690.0	hp	15	hd	intel	5	8	8	1000	hdd	uhd 620	free dos	1.9
Pavilion 14-ce2037TU (6YZ13PA)	13290.0	hp	14	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.6
Pavilion 15-cs2056TX (6YZ11PA)	16490.0	hp	15	fhd	intel	5	8	4	1000	hdd	mx130	win10	1.9
Pavilion 15-cs2034TU (6YZ06PA)	15490.0	hp	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.8
ProBook 450 G6 (5YM81PA)	17590.0	hp	15	fhd	intel	5	8	4	256	ssd	uhd 620	free dos	1.9
ENVY 13-aq0027TU (6ZF43PA)	27490.0	hp	13	fhd	intel	7	8	8	256	ssd	uhd 620	win10	1.3
Pavilion Gaming 15-dk0232TX (8DS85PA)	27490.0	hp	15	fhd	intel	7	9	8	1000	hdd	gtx 1650	win10	2.2
Notebook 15-da1022TU (5NK80PA)	14390.0	hp	15	hd	intel	5	8	4	1000	hdd	uhd 620	win10	1.8
ProBook 450 G6 (6FG98PA)	18990.0	hp	15	fhd	intel	5	8	4	256	ssd	mx250	free dos	1.9
ProBook 430 G6 (5YN00PA)	17290.0	hp	13	hd	intel	5	8	4	256	ssd	uhd 620	free dos	1.4
ProBook 445 G6-6XP98PA	16000.0	hp	14	fhd	amd	5	2	4	1000	hdd	radeon vega 8	free dos	1.5
ProBook 430 G6 (6UX78PA)	18090.0	hp	13	hd	intel	5	8	4	256	ssd	uhd 620	win10	1.5
Pavilion 15-cs2057TX (6YZ20PA)	16490.0	hp	15	fhd	intel	5	8	4	1000	hdd	mx130	win10	1.8
