name	salary
PJ Washington	3831.84
Luke Kennard	3827.16
Miles Bridges	3755.4
Jakob Poeltl	3754.885
Tyler Herro	3640.2
Donovan Mitchell	3635.76
Stanley Johnson	3623.0
Jake Layman	3581.986
Thon Maker	3569.643
Jerome Robinson	3567.72
Allonzo Trier	3551.1
Danuel House	3540.0
Domantas Sabonis	3529.554
Boban Marjanovic	3500.0
TJ McConnell	3500.0
DeMarcus Cousins	3500.0
Taurean Prince	3481.985
Dario Saric	3481.985
Romeo Langford	3458.4
Bam Adebayo	3454.08
Michael Porter	3389.4
Denzel Valentine	3377.568
Juan Hernangomez	3321.029
Sekou Doumbouya	3285.12
Justin Jackson	3280.92
Troy Brown	3219.48
Markieff Morris	3200.0
Jon Leuer	3169.348
Yogi Ferrell	3150.0
Patrick Patterson	3068.66
Zhaire Smith	3058.8
Ryan Arcidiacono	3000.0
Quinn Cook	3000.0
Khem Birch	3000.0
Omer Asik	3000.0
Nickeil Alexander-Walker	2964.84
DJ Wilson	2961.12
Cedi Osman	2907.143
Donte DiVincenzo	2905.8
Bryn Forbes	2875.0
Andrew Nicholson	2844.429
Goga Bitadze	2816.76
TJ Leaf	2813.28
Lonnie Walker	2764.2
Alex Caruso	2750.0
Malik Beasley	2731.713
Luka Samanic	2689.92
John Collins	2686.56
Kevin Huerter	2636.28
Caris LeVert	2625.717
Marko Guduric	2625.0
DeAndre Bembry	2603.981
Matisse Thybulle	2582.16
Harry Giles	2578.8
Rajon Rondo	2564.753
Wesley Matthews	2564.753
Vince Carter	2564.753
Wilson Chandler	2564.753
Jose Juan Barea	2564.753
Tyson Chandler	2564.753
Gerald Green	2564.753
Thabo Sefolosha	2564.753
Jared Dudley	2564.753
Udonis Haslem	2564.753
Anthony Tolliver	2564.753
Jeff Green	2564.753
Josh Okogie	2530.68
Vincent Poirier	2505.793
Rondae Hollis-Jefferson	2500.0
Brandon Clarke	2478.84
Terrance Ferguson	2475.84
Grayson Allen	2429.4
Grant Williams	2379.84
Jarrett Allen	2376.84
Pascal Siakam	2351.838
Skal Labissiere	2338.846
Chandler Hutchison	2332.32
Dejounte Murray	2321.735
Alec Burks	2320.044
Isaiah Thomas	2320.044
Damian Jones	2305.057
Darius Bazley	2284.8
OG Anunoby	2281.8
Ante Zizic	2281.8
Luke Kornet	2250.0
Monta Ellis	2245.4
Aaron Holiday	2239.2
Ty Jerome	2193.48
Willie Cauley-Stein	2177.483
Kyle O'Quinn	2174.318
Austin Rivers	2174.31
Carmelo Anthony	2159.029
Anfernee Simons	2149.56
Matt Barnes	2133.542
Nassir Little	2105.52
Moritz Wagner	2063.52
Dylan Windler	2035.8
Caleb Swanigan	2033.16
Iman Shumpert	2031.676
Ben McLemore	2028.594
Mike Muscala	2028.594
Troy Daniels	2028.594
Michael Carter-Williams	2028.594
Trey Burke	2028.594
Spencer Hawes	2007.058
Edmond Sumner	2000.0
Torrey Craig	2000.0
Noah Vonleh	2000.0
Landry Shamet	1995.12
Mfiondu Kabengele	1977.0
Kyle Kuzma	1974.6
Jordan Poole	1964.76
Tony Bradley	1962.36
Keldon Johnson	1950.6
Derrick White	1948.08
Robert Williams	1937.52
Josh Hart	1934.16
Jacob Evans	1928.28
Anderson Varejao	1913.345
Dzanan Musa	1911.6
Omari Spellman	1897.8
James Ennis	1882.867
Glenn Robinson III	1882.867
Nerlens Noel	1882.867
Larry Sanders	1865.546
Bruno Caboclo	1845.301
Shabazz Napier	1845.301
Mario Hezonja	1737.145
JaKarr Sampson	1737.145
Raul Neto	1737.145
Emmanuel Mudiay	1737.145
Pat Connaughton	1723.05
Jahlil Okafor	1702.486
Rodions Kurucs	1699.236
Jonah Bolden	1698.45
Dragan Bender	1678.854
David Nwaba	1678.854
Marquese Chriss	1678.854
Cheick Diallo	1678.854
Georges Niang	1645.357
Christian Wood	1645.357
Derrick Jones	1645.357
Treveon Graham	1645.357
Jordan McRae	1645.357
Justin Patton	1620.564
Furkan Korkmaz	1620.564
Tyrone Wallace	1620.564
Shaquille Harrison	1620.564
Tim Frazier	1620.564
Jordan Bell	1620.564
Semi Ojeleye	1618.52
Dwayne Bacon	1618.52
Dillon Brooks	1618.52
Sterling Brown	1618.52
Frank Jackson	1618.52
Damyean Dotson	1618.52
Abdel Nader	1618.52
Wesley Iwundu	1618.52
Royce O'Neale	1618.52
Jabari Bird	1588.231
Alfonzo McKinnie	1588.231
Monte Morris	1588.231
Chris Boucher	1588.231
Malcolm Miller	1588.231
Mitchell Robinson	1559.712
Willy Hernangomez	1557.25
Isaiah Roby	1500.0
Nigel Williams-Goss	1500.0
Antonio Blakeney	1488.231
JR Smith	1456.667
Thanasis Antetokounmpo	1445.697
Shake Milton	1445.697
Brad Wanamaker	1445.697
Theo Pinson	1445.697
Derrick Walton	1445.697
Khyri Thomas	1416.852
Isaiah Hartenstein	1416.852
Deonte Burton	1416.852
Elie Okobo	1416.852
Gary Trent Jr	1416.852
Isaac Bonga	1416.852
Devonte Graham	1416.852
Ryan Broekhoff	1416.852
Jalen Brunson	1416.852
Jarred Vanderbilt	1416.852
Bruce Brown	1416.852
Sviatoslav Mykhailiuk	1416.852
Gary Clark	1416.852
Alize Johnson	1416.852
De'Anthony Melton	1416.852
Kendrick Nunn	1416.852
Duncan Robinson	1416.852
Keita Bates-Diop	1416.852
Kenrich Williams	1416.852
Hamidou Diallo	1416.852
